type,neurons,density,hits,building_time,search_time
s,25230,10002.5,0,11049159,1247009
p0,25230,10002.5,0,4834733,319025
p1,25230,10002.5,-1,NaN,NaN
p2,25230,10002.5,0,10090176,332347
p3,25230,10002.5,0,5521571,340326
p4,25230,10002.5,-1,NaN,NaN
s,25230,10002.5,0,10991938,1247141
p0,25230,10002.5,0,4782460,318480
p1,25230,10002.5,-1,NaN,NaN
p2,25230,10002.5,0,10210226,331518
p3,25230,10002.5,0,5523802,337582
p4,25230,10002.5,-1,NaN,NaN
s,25230,10002.5,0,10976197,1244946
p0,25230,10002.5,0,4793565,318923
p1,25230,10002.5,-1,NaN,NaN
p2,25230,10002.5,0,10085869,332069
p3,25230,10002.5,0,5530161,340495
p4,25230,10002.5,-1,NaN,NaN
s,25230,10002.5,0,10985643,1248152
p0,25230,10002.5,0,4785822,318179
p1,25230,10002.5,-1,NaN,NaN
p2,25230,10002.5,0,10090480,331461
p3,25230,10002.5,0,5563142,337392
p4,25230,10002.5,-1,NaN,NaN
s,25230,10002.5,0,11001837,1247435
p0,25230,10002.5,0,4755818,323553
p1,25230,10002.5,-1,NaN,NaN
p2,25230,10002.5,0,10106785,332244
p3,25230,10002.5,0,5533658,337035
p4,25230,10002.5,-1,NaN,NaN
s,25230,1004.75,0,10966389,1235448
p0,25230,1004.75,0,4784509,310502
p1,25230,1004.75,-1,NaN,NaN
p2,25230,1004.75,0,10077566,333089
p3,25230,1004.75,0,5531636,343710
p4,25230,1004.75,-1,NaN,NaN
s,25230,1004.75,0,11034098,1235694
p0,25230,1004.75,0,4762095,310815
p1,25230,1004.75,-1,NaN,NaN
p2,25230,1004.75,0,10110651,332642
p3,25230,1004.75,0,5488568,337910
p4,25230,1004.75,-1,NaN,NaN
s,25230,1004.75,0,10993093,1233583
p0,25230,1004.75,0,4792461,310650
p1,25230,1004.75,-1,NaN,NaN
p2,25230,1004.75,0,10087722,330953
p3,25230,1004.75,0,5505499,339789
p4,25230,1004.75,-1,NaN,NaN
s,25230,1004.75,0,10990190,1235474
p0,25230,1004.75,0,4777617,312697
p1,25230,1004.75,-1,NaN,NaN
p2,25230,1004.75,0,10106434,330706
p3,25230,1004.75,0,5533662,339465
p4,25230,1004.75,-1,NaN,NaN
s,25230,1004.75,0,10991197,1233438
p0,25230,1004.75,0,4769683,312724
p1,25230,1004.75,-1,NaN,NaN
p2,25230,1004.75,0,10097780,331035
p3,25230,1004.75,0,5536325,337210
p4,25230,1004.75,-1,NaN,NaN
s,25230,10102.475,1,11006628,1231970
p0,25230,10102.475,1,4787531,311851
p1,25230,10102.475,-1,NaN,NaN
p2,25230,10102.475,1,10100607,328038
p3,25230,10102.475,1,5502415,339942
p4,25230,10102.475,-1,NaN,NaN
s,25230,10102.475,1,10984537,1228799
p0,25230,10102.475,1,4756156,311549
p1,25230,10102.475,-1,NaN,NaN
p2,25230,10102.475,1,10069951,329062
p3,25230,10102.475,1,5496177,339269
p4,25230,10102.475,-1,NaN,NaN
s,25230,10102.475,1,11028624,1243217
p0,25230,10102.475,1,4762298,312735
p1,25230,10102.475,-1,NaN,NaN
p2,25230,10102.475,1,10148746,328190
p3,25230,10102.475,1,5491952,338223
p4,25230,10102.475,-1,NaN,NaN
s,25230,10102.475,1,11039564,1223639
p0,25230,10102.475,1,4830994,311726
p1,25230,10102.475,-1,NaN,NaN
p2,25230,10102.475,1,10139697,328455
p3,25230,10102.475,1,5552386,338082
p4,25230,10102.475,-1,NaN,NaN
s,25230,10102.475,1,10998858,1223089
p0,25230,10102.475,1,4795889,313134
p1,25230,10102.475,-1,NaN,NaN
p2,25230,10102.475,1,10143009,329103
p3,25230,10102.475,1,5497253,338498
p4,25230,10102.475,-1,NaN,NaN
s,25230,10202.45,0,10999762,1272617
p0,25230,10202.45,0,4780381,310540
p1,25230,10202.45,-1,NaN,NaN
p2,25230,10202.45,0,10101367,326477
p3,25230,10202.45,0,5505486,331624
p4,25230,10202.45,-1,NaN,NaN
s,25230,10202.45,0,10989804,1265385
p0,25230,10202.45,0,4771547,310688
p1,25230,10202.45,-1,NaN,NaN
p2,25230,10202.45,0,10163528,327531
p3,25230,10202.45,0,5554018,334499
p4,25230,10202.45,-1,NaN,NaN
s,25230,10202.45,0,11055500,1276907
p0,25230,10202.45,0,4787411,310817
p1,25230,10202.45,-1,NaN,NaN
p2,25230,10202.45,0,10632348,328770
p3,25230,10202.45,0,5528565,332503
p4,25230,10202.45,-1,NaN,NaN
s,25230,10202.45,0,11051813,1271746
p0,25230,10202.45,0,4741251,309018
p1,25230,10202.45,-1,NaN,NaN
p2,25230,10202.45,0,10151650,326748
p3,25230,10202.45,0,5561984,333194
p4,25230,10202.45,-1,NaN,NaN
s,25230,10202.45,0,11012463,1272406
p0,25230,10202.45,0,4775814,309580
p1,25230,10202.45,-1,NaN,NaN
p2,25230,10202.45,0,10150244,326138
p3,25230,10202.45,0,5558530,333391
p4,25230,10202.45,-1,NaN,NaN
s,25230,10302.425,1,10990252,1242134
p0,25230,10302.425,1,4799065,311026
p1,25230,10302.425,-1,NaN,NaN
p2,25230,10302.425,1,10193545,332200
p3,25230,10302.425,1,5506696,336301
p4,25230,10302.425,-1,NaN,NaN
s,25230,10302.425,1,11049472,1250726
p0,25230,10302.425,1,4836167,310567
p1,25230,10302.425,-1,NaN,NaN
p2,25230,10302.425,1,10092394,332137
p3,25230,10302.425,1,5515384,337053
p4,25230,10302.425,-1,NaN,NaN
s,25230,10302.425,1,10989366,1253769
p0,25230,10302.425,1,4785152,310593
p1,25230,10302.425,-1,NaN,NaN
p2,25230,10302.425,1,10163664,332889
p3,25230,10302.425,1,5515405,336671
p4,25230,10302.425,-1,NaN,NaN
s,25230,10302.425,1,11013204,1273351
p0,25230,10302.425,1,4767223,310673
p1,25230,10302.425,-1,NaN,NaN
p2,25230,10302.425,1,10095460,331900
p3,25230,10302.425,1,5516441,337517
p4,25230,10302.425,-1,NaN,NaN
s,25230,10302.425,1,11011379,1254195
p0,25230,10302.425,1,4832971,311205
p1,25230,10302.425,-1,NaN,NaN
p2,25230,10302.425,1,10098251,332470
p3,25230,10302.425,1,5528382,337611
p4,25230,10302.425,-1,NaN,NaN
s,25230,10402.4,1,10953384,1320384
p0,25230,10402.4,1,4821501,313140
p1,25230,10402.4,-1,NaN,NaN
p2,25230,10402.4,1,10111860,326139
p3,25230,10402.4,1,5518300,332810
p4,25230,10402.4,-1,NaN,NaN
s,25230,10402.4,1,11066293,1248827
p0,25230,10402.4,1,4771835,310676
p1,25230,10402.4,-1,NaN,NaN
p2,25230,10402.4,1,10134912,328156
p3,25230,10402.4,1,5515393,331422
p4,25230,10402.4,-1,NaN,NaN
s,25230,10402.4,1,10982650,1304434
p0,25230,10402.4,1,4773755,311533
p1,25230,10402.4,-1,NaN,NaN
p2,25230,10402.4,1,10137793,326813
p3,25230,10402.4,1,5506783,334094
p4,25230,10402.4,-1,NaN,NaN
s,25230,10402.4,1,11021866,1256398
p0,25230,10402.4,1,4786936,312031
p1,25230,10402.4,-1,NaN,NaN
p2,25230,10402.4,1,10085935,326235
p3,25230,10402.4,1,5508803,333178
p4,25230,10402.4,-1,NaN,NaN
s,25230,10402.4,1,11200048,1274913
p0,25230,10402.4,1,4808432,311995
p1,25230,10402.4,-1,NaN,NaN
p2,25230,10402.4,1,10072655,326979
p3,25230,10402.4,1,5566891,333901
p4,25230,10402.4,-1,NaN,NaN
s,25230,104.975,0,11064672,1289172
p0,25230,104.975,0,4823073,308562
p1,25230,104.975,-1,NaN,NaN
p2,25230,104.975,0,10089519,328925
p3,25230,104.975,0,5502167,335321
p4,25230,104.975,-1,NaN,NaN
s,25230,104.975,0,11013287,1238008
p0,25230,104.975,0,4760683,310133
p1,25230,104.975,-1,NaN,NaN
p2,25230,104.975,0,10062186,330214
p3,25230,104.975,0,5499298,335242
p4,25230,104.975,-1,NaN,NaN
s,25230,104.975,0,11045649,1235369
p0,25230,104.975,0,4833196,308272
p1,25230,104.975,-1,NaN,NaN
p2,25230,104.975,0,10154689,331637
p3,25230,104.975,0,5495897,335321
p4,25230,104.975,-1,NaN,NaN
s,25230,104.975,0,11052805,1237847
p0,25230,104.975,0,4823483,308879
p1,25230,104.975,-1,NaN,NaN
p2,25230,104.975,0,10163781,330708
p3,25230,104.975,0,5497378,336619
p4,25230,104.975,-1,NaN,NaN
s,25230,104.975,0,11040038,1235267
p0,25230,104.975,0,4780201,309022
p1,25230,104.975,-1,NaN,NaN
p2,25230,104.975,0,10101193,332210
p3,25230,104.975,0,5488000,338683
